Вопрос,Схема ответа,метка
Что такое алгоритм? Как и где мне его заполнять?,"Это последовательность вычислительных шагов, выполняющих преобразование входных данных в выходные.
Создать алгоритм можно двумя способами:
Из реестра алгоритмов (Администрирование - Управление объектами - Алгоритмы объектов; в открывшемся реестре нажать “Создать”).
Из текущей карточки (место, где требуется вставить алгоритм; нажать на три точки - добавить)

В открывшейся карточке алгоритма заполнить Наименование и Идентификатор в блоке “Общая информация” и Базовый тип объектов (иногда не требуется) в блоке “Параметры“.
Создать алгоритм (функции добавляются с помощью нажатия на соответствующие кнопки) в блоке “Формула/алгоритм”.
Сохранить карточку.
",2
"Что делать, если в шаблонах нет нужной мне диаграммы?","Нужно на сайте highcharts.com найти нужный вид диаграммы, открыть его код и вбить в код алгоритма GreenData вручную, без шаблона.
Дополнительно создать таск на добавление соответствующего шаблона в платформу",2
"Для чего нужна аналитическая панель ""Спринт""?","Аналитическая панель дашборда ""Спринт"" позволяет отобразить ход (маршрутного) объекта по процессу (спринту).",2
"Как настроить аналитическую панель ""Спринт""?","Порядок действий по настройке аналитической панели ""Спринт"" подробно описан в статье на вики.",2
"Для чего нужна аналитическая панель ""Гиперссылки""?","Аналитическая панель дашборда ""Гиперссылки"" обычно используется для создания ""стартовой"" страницы. То есть той страницы пользователя, с которой возможен только переход по ссылке(ам). В случае выбора панели дашборда ""Гиперссылки"", объект займет всю рабочую область.",2
"Как настроить аналитическую панель ""Гиперссылки""?","Порядок действий по настройке аналитической панели ""Гиперссылки"" подробно описан в статье на вики.",2
Как настроить проваливание?,"1. Настройка типа/создание алгоритмов.
2. Формирование источников данных.
3. Управление источниками.
4. Настройка родительского компонента.
5. Настройка дочернего компонента.
6. Детализация данных.

Подробное описание с примерами по настройки drill-down (проваливания) представлепно в статье на вики. ",2
"Как работает Drill-down, когда расшифровка находится в отдельной диаграмме?","Если расшифровывающая диаграмма расположена отдельно от основной (т.е. в другом месте на визуале), то она будет отображаться с пустыми данными до клика на сектор родительской диаграммы. Аналогично для таблицы.",2
Что такое источник данных?,"Источник данных – это выборка данных, систематизированных по определенным критериям. Критерии выборки задаются с помощью запроса к базе данных (на языке SQL).",2
Зачем нужен источник данных?,"Сформированная информация используется в последующей работе пользователей и отображается (при соответствующей настройке):
  1. в отчетных формах;
  2. в печатных формах. 
  
Информация, формируемая источником, отображается на визуалах с помощью: 
  1. отчетных форм;
  2. дашбордов. 

Источник данных может использоваться для фильтрации данных. Пример настройки сложной фильтрации.",2
Как мне создать свой источник?,"1. Открыть пункт меню ""Источник данных""
2. Создать новую карточку источника
3. Действовать в соответствии со статьей Wiki (ссылка)
 
Если используется on-premise решение
  1. Дополнительно можно использовать тип объекта ""Источник на основе SQL"". т.к. имеется доступ к БД
  2. В этом случае написать источник самостоятельно в любой удобной программе, затем вставить готовый код в карточку типа ""Источник на основе SQL""
  3. Ссылку на Wiki
 
Если используется Saas-решение - ТОЛЬКО объектный источник, других вариантов нет",2
Как настроить объект-фильтр?,"Для настройки сложной логики фильтрации объектов необходимо:
1. Настроить объект-фильтр.
2. Указать фильтр на визуале.

Порядок действий по настройке объекта-фильтра подробно описан в статье на вики.",2
Для чего нужны параметры источника данных?,Параметры источника ограничивают (фильтруют) отображаемые им данные. Параметры могут задаваться для источников любого вида.,2
Как настроить параметры источника данных?,"1. Сформировать источник данных.
2. Нажать ""Управление параметрами"".
3. Нажать ""Создать"".
4. Ввести данные параметра.
5. Сохранить внесенные настройки.

Подробнее и с примером создание параметров источника описано в статье на вики. ",2
"Как изменить поля, отображаемые в источнике данных в денежном формате на целочисленное отображение, дату и время - на дату?","Если на основе источника данных планируется сделать отчетную форму или дашборд, то лучше на уровне источника форматирование не задавать, а сделать это на уровне отчетной формы/дашборда. Если все же нужно форматирование на уровне самого источника, то для этого следует использовать тип Стиль форматирования.
В нем вы можете задать нужные форматы (в том числе с помощью numbro.js). Далее данные стиль форматирования вам нужно использовать в атрибута ""Стиль форматирования"" в поле источника данных",2
"При просмотре источника падает ошибка: ""ERROR: syntax error at or near ""AN"" Position 1"". Что делать?","1. Проверить, созданы ли (сохранены ли) связи в источнике.
2. Настроены ли параметры.
3. Поля с наименованием не должны скрываться.",2
Что такое вычислимый показатель и для чего он нужен?,"Любой показатель представляет собой меру определения степени достижения цели (коэффициент) или набор количественных параметров, отражающих результаты деятельности организации.
В Системе эти показатели называются вычислимыми.
Вычислимые показатели разрабатываются и настраиваются на основе заявленных требований к Системе. Это обогащает представляемую информацию необходимыми данными.",2
Как создать вычислимый показатель?,Порядок действий по созданию вычислимых показателей подробно описан в статье на вики.,2
Как задать диапазон значений для вычислимого показателя?,Порядок действий по созданию диапазонов для вычислимых показателей подробно описан в статье на вики.,2
Что такое методика?,"Методика – это детализированный, пошаговый расчет необходимых показателей.",2
Для чего нужна методика?,"Методика предназначена для получения аналитических данных, рассчитанных на основании совокупности подобранных вычислимых показателей, которые вычисляются посредством алгоритмов.",2
Как создать методику?,Порядок действий по созданию методики подробно описан в статье на вики.,2
Как создать методику на основе формы отчетности?,Порядок действий по созданию методики на основе формы отчетности подробно описан в статье на вики.,2
Для чего нужна карточка расчета?,"Карточка расчета позволяет рассчитать методику с заданными системными параметрами (дата отчетности, тип динамики и т.д.).",2
Как создать карточку расчета?,Порядок действий по созданию карточки методики подробно описан в статье на вики.,2
Почему не сохраняется карточка расчета после изменения атрибутов внутри расчета?,"Если после нажатия на копку ""Сохранить"" карточка расчета не сохраняется, то нужно внести пробел в поле ""Наименование"" после названия карточки, затем выполнить повторное сохранение объекта.",2
Как и где выполнить расчет методики?,"Расчет методики производится на вкладке ""Расчет"" в карточке расчета. 
Для его выполнения предусмотрены кнопки - ""Рассчитать"" (рассчитать методику без сохранения результирующих значений) и ""Рассчитать и сохранить"" (рассчитать методику и сохранить полученные значений).",2
Для чего нужна таблица коэффициентов?,Таблицы коэффициентов применяются при оценочных расчетах. Они предназначены для осуществления поиска числа или объекта соответствующего передаваемому значению.,2
Как создать таблицу коэффициентов?,Порядок действий по созданию таблицы коэффициентов подробно описан в статье на вики.,2
Как вводить коэффициенты в таблицу?,Порядок действий по вводу коэффициентов в таблицу подробно описан в статье на вики.,2
Что такое аналитический диапазон значений?,"Это интервал между верхним и нижним границами, выраженный заявленными значениями нижнего и верхнего пределов.

Аналитический диапазон представляет набор числовых диапазонов, попадание в один из которых гарантирует возврат справочного значения (экземпляр объекта определенного типа) в качестве результата, или одну из границ интервала (числовое значение).",2
Как создать аналитический диапазон?,Порядок действий по созданию аналитического диапазона подробно описан в статье на вики.,2
Есть ли возможность заблокировать поле  (сделать недоступным для редактирования) после первого сохранения карточки? ,"Для того, чтобы заблокировать поле атрибута после сохарнения нуобходимо:
1. Добавить в тип объекта, в котором есть атрибут, который нужно заблокировать, дополнительный технический атрибут с типом (логический), при этом установить значение по умолчанию ""Нет""
2. Во вкладку ""Выражения"" добавить алгоритм карточки объекта для определения значения созданного технического атрибута
3. В настройках визуала для атрибута, который необходимо заблокировать, добавить условие блокировки

При создании нового экземпляра после сохранения карточки технический атрибут поменяет значение на ""ДА"" и необходимый параметр будет заблокирован от изменений. Технический атрибут соответственно на визуал не следует выносить
",2
"Как раздать права на дочерний объект в конкретном типе объекта, при этом весь тип объекта заблокировать, а дочерний разблокировать на удаление/редактирование/создание?",Задачу с доступом к объектам без возможности редактирования их элементов можно решить через визуал — заблокировать необходимые поля для редактирования.,2
Как заблокировать открытие карточки при двойном клике по строке реестра?,Для блокировки двойного клика необходимо на визуале необходимого типа объекта в настройках соответствующего атрибута нажать опцию Настройка DoubleClick и прописать алгоритм возвращающий true,2
Для чего нужна кнопка «Настройка прав по умолчанию»?,"Она нужна для раздачи прав на ранее созданные объекты.
1. При нажатии 	на указанную кнопку появится модальное окно, в котором с помощью кнопки ""Добавить группу или пользователя"" необходимо добавить нужную группу доступа, раздать необходимые права.
2. Для сохранения внесенных правок необходимо нажать ""Сохранить"".
3. После этого в этом же диалоговом окне необходимо нажать кнопку ""Применить права по умолчанию к существующим объектам"". ",2
"В системе не работает электронная подпись, при этом права на тип объекта у пользователя есть.","Это связано с тем, что на стенде удалили классификацию файлов ""Системные файлы"", либо у пользователя нет на неё прав. Необходимо проверить наличие этой классификации в БД (в том числе статус) и права.
Классификация файлов - обязательный атрибут. Подпись - это тоже файл, поэтому для создания подписи ей указывается эта классификация. Без наличия классификации ""Системные файлы"" и наличия у пользователя прав на её видимость подписание в системе работать не будет.",2
"Как можно скрыть для конкретной группы доступа видимость кнопки Маршрут, или запретить хотя бы просмотр информации по этой кнопке?","Скрыть или заблокировать кнопку никак нельзя, если по маршрутному объекту есть связи с процессом, то кнопка будет.",2
"У админов в верхней панели присутствует чат, а у пользователей нет. 
Подскажите, как возможно пользователям дать возможность пользоваться данной иконкой и чатом.","Для того, чтобы у пользователя появилась данная иконка, необходимо группе доступа, в которую он входит, настроить права через пункт меню ""доступ к объектам системы"" (Дочерний тип объектов: Разрешения, пункт: ""Доступ к чату"")",2
Можно ли поменять текст системных ошибок на более информативный?,"Редактирование текста ошибки в системе не предусмотрено. 
Чтобы избежать появления ошибок можно использовать следующие инструменты: 
1. В карточке атрибута на вкладке ""Дополнительное"" настроить подсказку для пользователя, которая будет появляться при наведении курсора на знак ""?"" рядом с наименованием поля. 
2. Использовать виджет ""подсказка"", на котором будет инструкция по заполнению поля и/или напоминание.",2
В каком формате указывать путь при настройке хранилища файлов в ФС на linux?,"Путь до файла указывается в самом стандартном формате, например, /u04.
Это должна быть папка, доступная на сервере приложений, где работает данный стенд. Также у пользователя, под которым запущено приложение, должны быть права на чтение и запись этой директории.
Есть также вариант хранения файлов в БД. Если надо хранить файлы в БД, то нужно сделать следующие настройки: поменять значение системной настройки Хранилище файлов для новых файлов на пустую строку или на FS_PARTITION_001 либо совсем удалить эту системную настройку.",2
"Где настраивается срок ""таймаута"", когда при бездействии пользователя в течение определенного времени его выкидывает из системы?","Настроить время ""таймаута"" можно через файл конфигураций, время указывается в секундах: server.session.timeout",2
Как на локальном стенде от дистр вернуть кнопку сброса кеша?,"Как одно из решений можно этот гуф поставить, он возвращает кнопку сброса в реестр типов

https://drive.google.com/file/d/16qRx23Z8q7ZGW3YcYGtL9vj36KfdraOB/view?usp=sharing",2
Как установить новую версию приложения?,Всю необходимую инфомрмацию можно прочитать по ссылке,2
Есть ли возможность создавать собственные виджеты? ,Есть возможности: 1) встраивать фреймы и самим встраиваться в виде фреймов; 2) встраивать html-код; 3) писать свой фронт с использованием backend API GreenData,2
"ранее начал проходить обучение, теперь не могу к нему вернуться. Перекидывает на форму заполнения данных(имя, почта). Повторного письма на почту не приходит. academygd.getcourse.ru/gd_vvod
Вот изначально по этой ссылке переходил заполнял форму.",По вопросам авторизации и прохождения курса – обращайтесь по адресу academy@greendatasoft.ru.,2
позвать оператора,Переключаю на оператора,2
"пожалуйста, свяжите меня с оператором",Переключаю на оператора,2
мне нужна помощь оператора,Переключаю на оператора,2
"оператор, помогите мне, пожалуйста",Переключаю на оператора,2
можно мне поговорить с оператором,Переключаю на оператора,2
как вызвать оператора?,Переключаю на оператора,2
мне нужен оператор,Переключаю на оператора,2
я бы хотел поговорить с оператором,Переключаю на оператора,2
свяжите меня с оператором,Переключаю на оператора,2
нужна помощь оператора,Переключаю на оператора,2
хочу поговорить с операторомпозови оператора,Переключаю на оператора,2
"Пожалуйста, переключите меня на оператора.",Переключаю на оператора,2
Мне нужна помощь оператора.,Переключаю на оператора,2
Не могли бы вы передать меня оператору?,Переключаю на оператора,2
Хочу поговорить с живым человеком.,Переключаю на оператора,2
"Помогите, я не могу найти ответ. Переключите меня на оператора.",Переключаю на оператора,2
"Оператор, пожалуйста!",Переключаю на оператора,2
Нужна поддержка оператора.,Переключаю на оператора,2
"Мне нужен человеческий разговор, пожалуйста.",Переключаю на оператора,2
Не могли бы вы соединить меня с оператором?,Переключаю на оператора,2
"Пожалуйста, переключите меня на реального человека.",Переключаю на оператора,2
Переключи меня на живого человека,Переключаю на оператора,2
хочу поговорить с оператором,Переключаю на оператора,2
позови человека,Переключаю на оператора,2
